dispnum3,incidnum3,dispnum4,incidnum4,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version
3552,3552029,-9,-9,IRQ,645,29,6,1993,29,6,1993,0,0,-9,-9,0,1,0,0,4.3000002
3552,3552029,-9,-9,USA,2,29,6,1993,29,6,1993,1,1,0,0,16,4,2,0,4.3000002
3552,3552030,-9,-9,SAU,670,1,7,1993,4,7,1993,0,1,0,0,0,1,0,0,4.3000002
3552,3552030,-9,-9,IRQ,645,1,7,1993,4,7,1993,1,0,0,0,16,4,2,0,4.3000002
3552,3552031,-9,-9,IRQ,645,24,7,1993,24,7,1993,0,0,-9,-9,0,1,0,0,4.3000002
3552,3552031,-9,-9,USA,2,24,7,1993,24,7,1993,1,1,0,0,16,4,2,0,4.3000002
3552,3552032,-9,-9,USA,2,19,8,1993,19,8,1993,0,1,0,0,17,4,2,0,4.3000002
3552,3552032,-9,-9,IRQ,645,19,8,1993,19,8,1993,1,0,-9,-9,17,4,2,0,4.3000002
3552,3552033,-9,-9,USA,2,23,12,1993,23,12,1993,0,1,0,0,17,4,2,0,4.3000002
3552,3552033,-9,-9,IRQ,645,23,12,1993,23,12,1993,1,0,0,0,17,4,2,0,4.3000002
3555,3555001,-9,-9,YUG,345,20,1,1992,20,1,1992,0,0,1,-9,17,4,1,0,4.3000002
3555,3555001,-9,-9,CRO,344,20,1,1992,20,1,1992,1,1,1,-9,17,4,1,0,4.3000002
3555,3555002,-9,-9,YUG,345,23,1,1992,23,1,1992,1,0,2,0,12,3,1,0,4.3000002
3555,3555002,-9,-9,CRO,344,23,1,1992,23,1,1992,0,1,2,0,0,1,0,0,4.3000002
3555,3555003,-9,-9,YUG,345,25,2,1992,29,2,1992,1,0,3,-9,17,4,1,0,4.3000002
3555,3555003,-9,-9,CRO,344,25,2,1992,29,2,1992,0,1,3,-9,17,4,1,0,4.3000002
3555,3555004,-9,-9,YUG,345,6,3,1992,8,4,1992,1,0,4,-9,17,4,1,0,4.3000002
3555,3555004,-9,-9,CRO,344,6,3,1992,8,4,1992,0,1,4,-9,17,4,1,0,4.3000002
3555,3555005,-9,-9,CRO,344,11,4,1992,11,4,1992,0,1,4,350,17,4,1,0,4.3000002
3555,3555005,-9,-9,YUG,345,11,4,1992,11,4,1992,1,0,-9,-9,17,4,1,0,4.3000002
3555,3555006,-9,-9,CRO,344,21,4,1992,21,4,1992,0,1,1,1,0,1,0,0,4.3000002
3555,3555006,-9,-9,YUG,345,21,4,1992,21,4,1992,1,0,0,0,16,4,1,0,4.3000002
